1     74   78   79   83   81
2     80   78   80   90   83
3     82   84   79   70   79
4     79   80   82   74   81
5     84   77   80   73   81
6     74   77   79   81   76
7     77   81   80   88   85
8     83   80   81   88   80
9     78   79   81   82   82
10    87   78   80   84   83
11    80   77   82   79   80
12    83   78   80   82   79
13    81   82   79   82   83
14    68   79   78   76   77
15    75   77   81   79   86
16    78   84   80   79   79
17    81   81   80   87   85
18    71   80   81   75   85
19    84   82   81   69   80
20    78   82   81   84   82
21    77   79   81   76   77
22    74   84   81   78   81
23    74   79   80   85   83
24    80   77   78   76   80
25    82   80   81   78   79
26    72   80   80   88   78
27    76   85   80   83   80
28    82   80   79   83   83
29    78   81   80   79   79
30    89   80   80   74   80
31    85   79   81   73   76
32    82   80   80   79   81
33    80   82   80   90   84
34    81   84   80   81   84
35    77   82   79   81   82
36    83   82   80   82   74
37    86   78   80   78   81
38    84   82   80   73   81
39    77   80   81   93   79
40    74   77   71   73   61
41    80   81   80   79   77
42    82   80   80   71   82
43    85   83   81   79   79
44    75   78   81   79   75
45    81   79   79   79   79
46    81   78   79   71   84
47    85   80   80   89   79
48    80   81   81   89   82
49    79   79   80   83   83
50    75   82   81   74   80
51    78   78   80   84   79
52    79   78   79   79   78
53    89   83   80   78   82
54    90   78   79   87   77
55    79   81   81   74   81
56    76   79   82   77   79
57    72   81   80   76   73
58    82   83   79   80   76
59    76   83   81   72   83
60    89   79   80   76   79
61    76   75   82   84   82
62    80   85   80   82   86
63    95   81   81   75   84
64    76   81   80   83   82
65    81   80   79   68   81
66    76   81   80   78   79
67    81   80   78   84   85
68    77   81   81   77   82
69    80   79   80   80   76
70    79   77   82   72   80
71    75   82   80   84   74
72    80   83   79   71   79
73    84   79   81   78   72
74    86   77   79   79   84
75    75   81   79   80   78
76    79   80   80   76   79
77    85   77   80   89   79
78    76   80   80   73   82
79    70   79   80   81   82
80    76   79   79   65   82
81    76   78   79   80   78
82    80   84   80   83   76
83    78   79   81   75   79
84    81   77   78   84   81
85    78   80   81   82   78
86    81   81   80   85   80
87    79   78   81   76   76
88    85   74   80   75   80
89    77   79   80   71   80
90    81   81   80   78   80
91    76   80   79   73   80
92    81   80   81   83   85
93    80   81   81   80   82
94    73   78   81   91   83
95    79   82   82   74   77
96    85   80   81   86   80
97    83   81   79   77   83
98    81   82   79   73   80
99    75   80   79   83   74
100   85   78   80   73   81
101   80   82   79   75   74
102   78   76   80   76   78
103   87   79   79   81   84
104   77   79   80   75   82
105   81   80   79   85   83
106   85   82   82   74   81
107   82   80   81   81   80
108   79   81   81   81   77
109   78   80   80   75   85
110   81   80   82   78   80
111   82   81   79   77   78
112   80   82   80   85   83
113   85   75   81   88   83
114   80   81   79   75   86
115   77   81   80   85   78
116   82   79   80   80   79
117   71   72   80   70   75
118   82   79   80   76   79
119   82   79   80   82   79
120   79   82   80   81   79
121   76   83   79   68   84
122   78   81   81   83   78
123   86   79   80   83   79
124   77   78   80   78   82
125   71   79   80   76   83
126   83   78   81   90   78
127   78   79   80   80   78
128   78   81   80   80   82
129   75   78   79   74   83
130   80   85   80   73   79
131   83   80   80   72   76
132   78   82   79   78   85
133   78   75   81   87   84
134   84   81   78   89   78
135   79   77   80   88   80
136   79   82   78   86   75
137   77   81   80   79   82
138   84   79   79   74   85
139   76   83   79   78   75
140   83   79   80   68   78
141   83   79   78   78   78
142   78   78   81   88   78
143   83   79   78   81   74
144   84   82   80   85   82
